Day	Month	Year	DoB	Full_name	Gender	Country	National_Party	National_Party_Abbreviation	European_Party_Group	European_Party_Group_Abbreviation
9	1	1952	09.01.52	Marek Belka	M	Poland	Democratic Left Alliance	SLD	Progressive Alliance of Socialists and Democrats	SD
				Barbara Gibson	F	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
13	2	1952	13.02.52	Alexander Yordanov	M	Bulgaria	Union of Democratic Forces	SDS	European People's Party	EPP
26	4	1952	26.04.52	Seán Kelly	M	Ireland	Fine Gael	FG	European People's Party	EPP
4	6	1952	04.06.52	Georgios Kyrtsos	M	Greece	New Democracy	ND	European People's Party	EPP
31	7	1952	31.07.52	Pilar del Castillo Vera	F	Spain	People's Party	PP	European People's Party	EPP
8	5	1966	08.05.66	Carmen Avram	F	Romania	Social Democratic Party	PSD	Progressive Alliance of Socialists and Democrats	SD
23	8	1952	23.08.52	Maria Manuel de Lemos Leitão Marques	F	Portugal	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
3	9	1952	03.09.52	Inese Vaidere	F	Latvia	Unity	V	European People's Party	EPP
21	9	1952	21.09.52	Jan Marian Olbrycht	M	Poland	Civic Platform	PO	European People's Party	EPP
24	9	1952	24.09.52	Ivan David	M	Czech Republic	Freedom and Direct Democracy	SPD	Europe of Nations and Freedom	ID
22	12	1952	22.12.52	Sandra Kalniete	F	Latvia	Unity	V	European People's Party	EPP
14	1	1953	14.01.53	Attila Ara-Kovács	M	Hungary	Democratic Coalition	DK	Progressive Alliance of Socialists and Democrats	SD
21	12	1971	21.12.71	Alice Bah Kuhnke	F	Sweden	Green Party	MP	Greens-European Free Alliance	Greens-EFA
15	9	1973	15.09.73	Alyn Smith	M	United Kingdom	Scottish National Party	SNP	Greens-European Free Alliance	Greens-EFA
17	2	1953	17.02.53	Johanna Schreijer-Pierik	F	Netherlands	Christian Democratic Appeal	CDA	European People's Party	EPP
6	10	1974	06.10.74	Alexis Georgoulis	M	Greece	Coalition of the Radical Left	SYRIZA	European United Left-Nordic Green Left Confederal Group	GUE-NGL
28	1	1951	28.01.51	Bernard Guetta	M	France	Independent	Ind	Renew Europe	RE
11	4	1953	11.04.53	Zdzisław Marek Krasnodębski	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
21	5	1953	21.05.53	Bernhard Zimniok	M	Germany	Alternative for Germany	AfD	Europe of Nations and Freedom	ID
25	5	1953	25.05.53	Álvaro Amaro	M	Portugal	Social Democrat Party	PPD/PSD	European People's Party	EPP
1	8	1953	01.08.53	Dominique Bilde	F	France	National Rally	RN	Europe of Nations and Freedom	ID
4	8	1953	04.08.53	Antonio Tajani	M	Italy	Forward Italy	FI	European People's Party	EPP
6	9	1953	06.09.53	Gianantonio Da Re	M	Italy	League	Lega	Europe of Nations and Freedom	ID
		1982		Anna Cavazzini	F	Germany	Alliance 90/The Greens	Grüne	Greens-European Free Alliance	Greens-EFA
30	10	1953	30.10.53	Juozas Olekas	M	Lithuania	Social Democratic Party of Lithuania	LSDP	Progressive Alliance of Socialists and Democrats	SD
10	12	1953	10.12.53	Nicolas Schmit	M	Luxembourg	Luxembourg Socialist Workers' Party	LSAP	Progressive Alliance of Socialists and Democrats	SD
14	12	1953	14.12.53	Evangelos-Vasileios Meimarakis	M	Greece	New Democracy	ND	European People's Party	EPP
19	1	1954	19.01.54	Evelyne Gebhardt	F	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
3	2	1954	03.02.54	Margarida Marques	F	Portugal	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
11	2	1954	11.02.54	Miroslav Číž	M	Slovakia	Direction - Social Democracy	SMER-SD	Progressive Alliance of Socialists and Democrats	SD
13	4	1954	13.04.54	Róża Gräfin von Thun und Hohenstein	F	Poland	Civic Platform	PO	European People's Party	EPP
19	5	1954	19.05.54	Liudas Mažylis	M	Lithuania	Homeland Union	TS-LKD	European People's Party	EPP
21	1	1968	21.01.68	Anja Hazekamp	F	Netherlands	Party for Animals	PvdD	European United Left-Nordic Green Left Confederal Group	GUE-NGL
29	6	1954	29.06.54	Anthea McIntyre	F	United Kingdom	Conservative	Con	European Conservatives and Reformists Group	ECR
3	10	1941	03.10.41	Bill Newton Dunn	M	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
1	6	1980	01.06.80	Caroline Nagtegaal-van Doorn	F	Netherlands	People's Party for Freedom and Democracy	VVD	Renew Europe	RE
5	11	1954	05.11.54	Caterina Chinnici	F	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
20	12	1975	20.12.75	Claudiu Manda	M	Romania	Social Democratic Party	PSD	Progressive Alliance of Socialists and Democrats	SD
6	1	1955	06.01.55	Richard Graham Corbett	M	United Kingdom	Labour	Lab	Progressive Alliance of Socialists and Democrats	SD
27	2	1955	27.02.55	Antonio Maria Rinaldi	M	Italy	League	Lega	Europe of Nations and Freedom	ID
8	3	1955	08.03.55	Francisco José Millán Mon	M	Spain	People's Party	PP	European People's Party	EPP
12	3	1955	12.03.55	Janina Maria Ochojska-Okońska	F	Poland	Independent	Ind	European People's Party	EPP
8	7	1976	08.07.76	Anna Silvia Modig	F	Finland	Left Alliance	Vas	European United Left-Nordic Green Left Confederal Group	GUE-NGL
9	4	1955	09.04.55	Maria da Graça Carvalho	F	Portugal	Social Democrat Party	PPD/PSD	European People's Party	EPP
5	6	1976	05.06.76	Anna Deparnay-Grunenberg	F	Germany	Alliance 90/The Greens	Grüne	Greens-European Free Alliance	Greens-EFA
22	6	1955	22.06.55	Elżbieta Rafalska	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
4	7	1955	04.07.55	Eero Heinäluoma	M	Finland	Social Democratic Party of Finland	SDP	Progressive Alliance of Socialists and Democrats	SD
15	7	1955	15.07.55	Hynek Blaško	M	Czech Republic	Freedom and Direct Democracy	SPD	Europe of Nations and Freedom	ID
24	8	1955	24.08.55	Johan Van Overtveldt	M	Belgium	New Flemish Alliance	N-VA	European Conservatives and Reformists Group	ECR
16	10	1955	16.10.55	Marlene Mortler	F	Germany	Christian Social Union	CSU	European People's Party	EPP
5	2	1976	05.02.76	Anne-Sophie Pelletier	F	France	Unsubmissive France	FI	European United Left-Nordic Green Left Confederal Group	GUE-NGL
11	11	1955	11.11.55	Filip Emiel Julien De Man	M	Belgium	Flemish Interest	VB	Europe of Nations and Freedom	ID
8	10	1976	08.10.76	Bas Eickhout	M	Netherlands	GreenLeft	GL	Greens-European Free Alliance	Greens-EFA
14	11	1955	14.11.55	Bernd Lange	M	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
16	4	1968	16.04.68	Clare Daly	F	Ireland	Independents 4 Change	I4C	European United Left-Nordic Green Left Confederal Group	GUE-NGL
29	1	1956	29.01.56	Hervé Juvin	M	France	National Rally	RN	Europe of Nations and Freedom	ID
10	2	1956	10.02.56	Pietro Bartolo	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
26	2	1956	26.02.56	Evžen Tošenovský	M	Czech Republic	Civic Democratic Party	ODS	European Conservatives and Reformists Group	ECR
27	2	1956	27.02.56	Jean-Paul Garraud	M	France	National Rally	RN	Europe of Nations and Freedom	ID
6	3	1956	06.03.56	László Trócsányi	M	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
14	3	1956	14.03.56	Toine Manders	M	Netherlands	50PLUS	50+	European People's Party	EPP
30	5	1956	30.05.56	David-Maria Sassoli	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
8	6	1956	08.06.56	Udo Bullmann	M	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
25	6	1956	25.06.56	Joachim Kuhs	M	Germany	Alternative for Germany	AfD	Europe of Nations and Freedom	ID
28	6	1973	28.06.73	Clotilde-Marie-Brigitte Armand	F	Romania	Save Romania Union	USR	Renew Europe	RE
14	9	1956	14.09.56	Elissavet Vozemberg-Vrionidi	F	Greece	New Democracy	ND	European People's Party	EPP
19	9	1956	19.09.56	Zbigniew Krzysztof Kuźmiuk	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
				Caroline Voaden	F	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
14	10	1956	14.10.56	Constanze Angela Krehl	F	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
14	1	1949	14.01.49	Catherine Bearder	F	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
30	11	1956	30.11.56	Cornelia Ernst	F	Germany	The Left	Linke	European United Left-Nordic Green Left Confederal Group	GUE-NGL
3	12	1956	03.12.56	Ewa Kopacz	F	Poland	Civic Platform	PO	European People's Party	EPP
8	12	1956	08.12.56	Andrius Kubilius	M	Lithuania	Homeland Union	TS-LKD	European People's Party	EPP
24	12	1956	24.12.56	Neena Gill	F	United Kingdom	Labour	Lab	Progressive Alliance of Socialists and Democrats	SD
24	6	1967	24.06.67	Corina Creţu	F	Romania	PRO Romania	PRO	Renew Europe	RE
6	1	1957	06.01.57	Dietmar Köster	M	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
12	1	1957	12.01.57	Anna Elżbieta Fotyga	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
21	1	1957	21.01.57	Juan Ignacio Zoido Álvarez	M	Spain	People's Party	PP	European People's Party	EPP
19	2	1957	19.02.57	Rainer Wieland	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
7	3	1957	07.03.57	Julie Ward	F	United Kingdom	Labour	Lab	Progressive Alliance of Socialists and Democrats	SD
5	5	1957	05.05.57	Witold Waszczykowski	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
29	11	1962	29.11.62	Catherine Chabaud	F	France	Democratic Movement	MoDem	Renew Europe	RE
20	5	1957	20.05.57	Dubravka Šuica	F	Croatia	Croatian Democratic Union	HDZ	European People's Party	EPP
23	5	1957	23.05.57	Jean-François Jalkh	M	France	National Rally	RN	Europe of Nations and Freedom	ID
6	2	1952	06.02.52	Charles Goerens	M	Luxembourg	Democratic Party	DP	Renew Europe	RE
7	7	1954	07.07.54	Chris Davies	M	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
27	9	1957	27.09.57	Aldo Patriciello	M	Italy	Forward Italy	FI	European People's Party	EPP
16	10	1957	16.10.57	Nosheena Shaheen Mobarik	F	United Kingdom	Conservative	Con	European Conservatives and Reformists Group	ECR
24	12	1957	24.12.57	Othmar Karas	M	Austria	Austrian People's Party	ÖVP	European People's Party	EPP
7	1	1958	07.01.58	Inmaculada Rodríguez-Piñero Fernández	F	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
8	1	1958	08.01.58	Brian Monteith	M	United Kingdom	Brexit Party	BP	Europe of Freedom and Direct Democracy Group	EFDD
26	1	1958	26.01.58	Rasa Juknevičienė	F	Lithuania	Homeland Union	TS-LKD	European People's Party	EPP
2	2	1958	02.02.58	Paolo De Castro	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
8	2	1958	08.02.58	Eugen Jurzyca	M	Slovakia	Independent	Ind	European Conservatives and Reformists Group	ECR
9	4	1958	09.04.58	Hermann Leopold Tertsch del Valle-Lersundi	M	Spain	Voice	VOX	European Conservatives and Reformists Group	ECR
10	5	1958	10.05.58	Ruža Tomašić	F	Croatia	Croatian Conservative Party	HKS	European Conservatives and Reformists Group	ECR
11	5	1958	11.05.58	Brice Hortefeux	M	France	The Republicans	LR	European People's Party	EPP
4	6	1958	04.06.58	Aušra Seibutytė-Maldeikienė	F	Lithuania	Independent	Ind	European People's Party	EPP
5	6	1958	05.06.58	Luisa Regimenti	F	Italy	League	Lega	Europe of Nations and Freedom	ID
20	6	1958	20.06.58	Roberts Zīle	M	Latvia	National Alliance	NA	European Conservatives and Reformists Group	ECR
8	8	1958	08.08.58	Thierry Mariani	M	France	National Rally	RN	Europe of Nations and Freedom	ID
16	8	1958	16.08.58	Diane Dodds	F	United Kingdom	Democratic Unionist Party	DUP	Non-attached Group	NI
3	9	1958	03.09.58	Peter van Dalen	M	Netherlands	Christian Union	CU	European People's Party	EPP
7	4	1967	07.04.67	Benoit Biteau	M	France	Europe Ecology – The Greens	EELV	Greens-European Free Alliance	Greens-EFA
11	10	1958	11.10.58	Gilles Lebreton	M	France	National Rally	RN	Europe of Nations and Freedom	ID
31	10	1958	31.10.58	John Howarth	M	United Kingdom	Labour	Lab	Progressive Alliance of Socialists and Democrats	SD
7	11	1958	07.11.58	Derk Jan Eppink	M	Netherlands	Forum for Democracy	FvD	European Conservatives and Reformists Group	ECR
8	11	1958	08.11.58	Gerolf Annemans	M	Belgium	Flemish Interest	VB	Europe of Nations and Freedom	ID
19	4	1959	19.04.59	Sirpa Pietikäinen	F	Finland	National Coalition Party	Kok	European People's Party	EPP
24	4	1959	24.04.59	Peter Jahr	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
14	4	1955	14.04.55	Bronis Ropė	M	Lithuania	Lithuanian Farmers and Greens Union	LVŽS	Greens-European Free Alliance	Greens-EFA
9	4	1965	09.04.65	Christophe Grudler	M	France	Democratic Movement	MoDem	Renew Europe	RE
25	5	1959	25.05.59	Manolis Kefalogiannis	M	Greece	New Democracy	ND	European People's Party	EPP
28	5	1959	28.05.59	Carlos Zorrinho	M	Portugal	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
13	6	1959	13.06.59	Mairead McGuinness	F	Ireland	Fine Gael	FG	European People's Party	EPP
7	5	1976	07.05.76	Chrysoula Zacharopoulou	F	France	Independent	Ind	Renew Europe	RE
1	8	1959	01.08.59	Ljudmila Novak	F	Slovenia	New Slovenia	NSi	European People's Party	EPP
23	12	1988	23.12.88	Claudia Gamon	F	Austria	NEOS	NEOS	Renew Europe	RE
19	11	1959	19.11.59	Elżbieta Małgorzata Kruk	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
29	1	1960	29.01.60	Birgit Sippel	F	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
3	3	1960	03.03.60	Vilija Blinkevičiūtė	F	Lithuania	Social Democratic Party of Lithuania	LSDP	Progressive Alliance of Socialists and Democrats	SD
14	4	1960	14.04.60	Éric Andrieu	M	France	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
20	4	1960	20.04.60	Teuvo Hakkarainen	M	Finland	Finns Party	PS	Europe of Nations and Freedom	ID
22	4	1960	22.04.60	Michael Gahler	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
15	5	1960	15.05.60	José Ignacio Sánchez Amor	M	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
5	6	1960	05.06.60	Claire Fox	F	United Kingdom	Brexit Party	BP	Europe of Freedom and Direct Democracy Group	EFDD
6	6	1960	06.06.60	Javier Zarzalejos	M	Spain	People's Party	PP	European People's Party	EPP
19	7	1977	19.07.77	Cristian Ghinea	M	Romania	Save Romania Union	USR	Renew Europe	RE
4	12	1978	04.12.78	Cristian Terheş	M	Romania	Social Democratic Party	PSD	Progressive Alliance of Socialists and Democrats	SD
13	8	1960	13.08.60	Andrej Petrov Slabakov	M	Bulgaria	IMRO – Bulgarian National Movement	VMRO	European Conservatives and Reformists Group	ECR
15	9	1960	15.09.60	Petri Sarvamaa	M	Finland	National Coalition Party	Kok	European People's Party	EPP
29	9	1960	29.09.60	Heléne Fritzon	F	Sweden	Swedish Social Democratic Party	S	Progressive Alliance of Socialists and Democrats	SD
10	11	1968	10.11.68	Caroline Roose	F	France	Europe Ecology – The Greens	EELV	Greens-European Free Alliance	Greens-EFA
4	11	1960	04.11.60	Agnes Jongerius	F	Netherlands	Labour Party	PvdA	Progressive Alliance of Socialists and Democrats	SD
				Catherine Rowett	F	United Kingdom	Green Party	Green	Greens-European Free Alliance	Greens-EFA
4	1	1961	04.01.61	Gabriele Bischoff	F	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
1	2	1961	01.02.61	Bogdan Rzońca	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
5	2	1961	05.02.61	France Jamet	F	France	National Rally	RN	Europe of Nations and Freedom	ID
5	3	1961	05.03.61	Andris Ameriks	M	Latvia	Harmony	SPDS	Progressive Alliance of Socialists and Democrats	SD
31	3	1964	31.03.64	Christian Allard	M	United Kingdom	Scottish National Party	SNP	Greens-European Free Alliance	Greens-EFA
1	3	1978	01.03.78	Cristian-Silviu Buşoi	M	Romania	National Liberal Party	PNL	European People's Party	EPP
6	5	1961	06.05.61	Franciscus Timmermans	M	Netherlands	Labour Party	PvdA	Progressive Alliance of Socialists and Democrats	SD
10	6	1961	10.06.61	Juan Fernando López Aguilar	M	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
22	6	1961	22.06.61	Jens Geier	M	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
17	8	1961	17.08.61	Alexandr Vondra	M	Czech Republic	Civic Democratic Party	ODS	European Conservatives and Reformists Group	ECR
30	8	1961	30.08.61	Philippe Olivier	M	France	National Rally	RN	Europe of Nations and Freedom	ID
31	8	1961	31.08.61	Tonino Picula	M	Croatia	Social Democratic Party	SDP	Progressive Alliance of Socialists and Democrats	SD
7	9	1961	07.09.61	József Szájer	M	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
3	4	1963	03.04.63	Ciarán Cuffe	M	Ireland	Green Party	GP	Greens-European Free Alliance	Greens-EFA
30	9	1961	30.09.61	Ivan Štefanec	M	Slovakia	Christian Democratic Movement	KDH	European People's Party	EPP
26	11	1961	26.11.61	Andrzej Halicki	M	Poland	Civic Platform	PO	European People's Party	EPP
29	12	1961	29.12.61	Isabel Wiseler-Santos Lima	F	Luxembourg	Christian Social People's Party	CSV	European People's Party	EPP
8	3	1988	08.03.88	Damian Hieronymus Johannes Freiherr von Boeselager	M	Germany	Volt	Volt	Greens-European Free Alliance	Greens-EFA
12	4	1962	12.04.62	Jarosław Kalinowski	M	Poland	Polish People's Party	PSL	European People's Party	EPP
21	3	1955	21.03.55	Dimitrios Papadimoulis	M	Greece	Coalition of the Radical Left	SYRIZA	European United Left-Nordic Green Left Confederal Group	GUE-NGL
18	5	1962	18.05.62	Kris Peeters	M	Belgium	Christian Democratic and Flemish	CDV	European People's Party	EPP
25	5	1962	25.05.62	Milan Zver	M	Slovenia	Slovenian Democratic Party	SDS	European People's Party	EPP
27	5	1962	27.05.62	Costas Mavrides	M	Cyprus	Democratic Party	DIKO	Progressive Alliance of Socialists and Democrats	SD
2	6	1962	02.06.62	Predrag Fred Matić	M	Croatia	Social Democratic Party	SDP	Progressive Alliance of Socialists and Democrats	SD
11	6	1962	11.06.62	Sylvie Guillaume	F	France	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
13	6	1962	13.06.62	György Hölvényi	M	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
2	7	1962	02.07.62	Monika Hohlmeier	F	Germany	Christian Social Union	CSU	European People's Party	EPP
3	8	1962	03.08.62	Andrea Cozzolino	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
15	8	1962	15.08.62	Manuel Pedro Cunha da Silva Pereira	M	Portugal	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
16	11	1960	16.11.60	Damien Carême	M	France	Europe Ecology – The Greens	EELV	Greens-European Free Alliance	Greens-EFA
6	9	1962	06.09.62	Marina Kaljurand	F	Estonia	Social Democratic Party	SDE	Progressive Alliance of Socialists and Democrats	SD
12	10	1962	12.10.62	Anna Cinzia Bonfrisco	F	Italy	League	Lega	Europe of Nations and Freedom	ID
29	7	1967	29.07.67	Dacian Cioloş	M	Romania	Freedom, Unity and Solidarity Party	PLUS	Renew Europe	RE
28	10	1962	28.10.62	Joachim Schuster	M	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
29	10	1962	29.10.62	Bettina Vollath	F	Austria	Social Democratic Party of Austria	SPÖ	Progressive Alliance of Socialists and Democrats	SD
2	7	1960	02.07.60	Dan Nica	M	Romania	Social Democratic Party	PSD	Progressive Alliance of Socialists and Democrats	SD
11	9	1970	11.09.70	Dan-Ştefan Motreanu	M	Romania	National Liberal Party	PNL	European People's Party	EPP
11	12	1962	11.12.62	Theresa Griffin	F	United Kingdom	Labour	Lab	Progressive Alliance of Socialists and Democrats	SD
25	1	1963	25.01.63	Ryszard Czarnecki	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
		1950		Dinesh Dhamija	M	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
2	2	1963	02.02.63	Peter Lundgren	M	Sweden	Sweden Democrats	SD	European Conservatives and Reformists Group	ECR
2	2	1963	02.02.63	Franc Bogovič	M	Slovenia	Slovenian People's Party	SLS	European People's Party	EPP
15	2	1963	15.02.63	Lucia Vuolo	F	Italy	League	Lega	Europe of Nations and Freedom	ID
18	2	1963	18.02.63	Angelika Niebler	F	Germany	Christian Social Union	CSU	European People's Party	EPP
23	2	1963	23.02.63	Radosław Tomasz Sikorski	M	Poland	Civic Platform	PO	European People's Party	EPP
3	3	1963	03.03.63	Jonathan Bullock	M	United Kingdom	Brexit Party	BP	Europe of Freedom and Direct Democracy Group	EFDD
11	3	1963	11.03.63	Marc Tarabella	M	Belgium	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
		1985		Daniel Freund	M	Germany	Alliance 90/The Greens	Grüne	Greens-European Free Alliance	Greens-EFA
20	3	1963	20.03.63	Jan Zahradil	M	Czech Republic	Civic Democratic Party	ODS	European Conservatives and Reformists Group	ECR
21	3	1963	21.03.63	Giuseppe Ferrandino	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
7	4	1963	07.04.63	Axel Voss	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
2	11	1962	02.11.62	Elena Kountoura	F	Greece	Independent	Ind	European United Left-Nordic Green Left Confederal Group	GUE-NGL
15	4	1963	15.04.63	Beata Szydło	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
8	5	1963	08.05.63	Izabela Kloc	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
9	5	1963	09.05.63	Angelika Winzig	F	Austria	Austrian People's Party	ÖVP	European People's Party	EPP
15	5	1963	15.05.63	Markus Pieper	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
30	4	1975	30.04.75	Dita Charanzová	F	Czech Republic	Independent	Ind	Renew Europe	RE
30	11	1974	30.11.74	David Cormand	M	France	Europe Ecology – The Greens	EELV	Greens-European Free Alliance	Greens-EFA
21	2	1975	21.02.75	Diana Riba i Giner	F	Spain	Republican Left of Catalonia	ERC	Greens-European Free Alliance	Greens-EFA
2	7	1963	02.07.63	Jadwiga Wiśniewska	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
17	8	1963	17.08.63	Jan Christian Ehler	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
18	9	1946	18.09.46	Dominique Riquet	M	France	Radical Movement	MR	Renew Europe	RE
31	8	1963	31.08.63	Lefteris Christoforou	M	Cyprus	Democratic Rally	DISY	European People's Party	EPP
11	1	1970	11.01.70	Daniel Buda	M	Romania	National Liberal Party	PNL	European People's Party	EPP
28	10	1963	28.10.63	Michaela Šojdrová	F	Czech Republic	Christian Democratic Union - Czechoslovak People's Party	KDU-CSL	European People's Party	EPP
6	11	1963	06.11.63	Nadine Morano	F	France	The Republicans	LR	European People's Party	EPP
